housing_median_age,total_rooms,median_income,total_bedrooms,Make,population,households,GenderMainOwner,median_house_value,Exposure ,Indicator
51,1538,394,1173,HONDA,388,2.3156,Male,109800,1,1
48,1157,247,677,MAZDA,218,2.8594,Male,127200,1,1
33,1831,486,1625,SAAB,472,1.9937,Male,103600,1,1
47,508,108,384,VOLVO,86,1.9583,Female,92600,1,1
27,2178,629,2379,FORD,591,1.9766,Male,108000,1,1
18,3610,772,2899,HYUNDAI,765,3.9784,Female,113500,1,1
25,1712,491,1807,ROVER,478,2.2258,Female,114800,1,1
33,1694,333,1689,FORD,301,3.7583,Female,116300,1,1
34,975,192,870,Unknown,183,3.7933,Female,116100,1,1
33,1056,272,964,FORD,300,2.4464,Female,128700,1,1
39,2933,590,1886,FORD,550,3.9224,Female,131300,1,1
5,4536,1178,2485,HYUNDAI,909,4.1118,Male,125900,1,1
34,1081,205,1325,VAUXHALL,252,3.6298,Female,108500,1,1
21,4031,923,2558,VOLVO,834,3.1641,Male,117300,1,1
30,1700,504,1719,FORD,459,2.227,Female,91900,1,1
36,2910,819,3055,MITSUBISHI,782,1.9029,Male,98000,1,1
35,1293,339,1494,ROVER,312,1.6645,Male,93300,1,1
36,3839,1004,4711,VAUXHALL,942,2.3859,Male,116200,1,1
35,1613,298,911,CITROEN,293,3.4398,Male,134300,1,1
42,2504,553,1550,FORD,509,3.0294,Male,135700,1,1
48,2438,599,1508,MAZDA,548,2.8983,Male,129200,1,1
52,1868,316,947,SEAT,328,4.2415,Female,140100,1,1
52,1279,213,444,VOLVO,204,5.2269,Female,161000,1,1
52,2550,586,1246,HYUNDAI,576,1.6006,Female,146200,1,1
34,2742,491,1761,JAGUAR,496,3.2481,Male,128800,1,1
33,4100,740,2580,ROVER,730,3.7321,Female,134200,1,1
28,5173,1069,3502,VAUXHALL,954,3.8438,Male,130800,1,1
34,4038,725,2716,ALFA ROMEO,759,4.1339,Male,135000,1,1
32,2209,654,1718,HYUNDAI,569,1.9643,Female,113200,1,1
34,344,108,315,RENAULT,119,3.1786,Male,117800,1,1
51,498,115,368,VAUXHALL,112,1.4063,Male,98800,1,1
33,1921,489,1430,VOLVO,467,2.3406,Male,122600,1,1
33,1025,261,854,FORD,269,2.2596,Female,119400,1,1
36,975,243,809,PROTON,233,2.8929,Male,118100,1,1
28,2758,771,2877,VOLVO,694,2.0734,Female,113300,1,1
30,1185,317,1466,JAGUAR,302,2.625,Male,94300,1,1
29,2452,700,3029,ALFA ROMEO,665,2.1354,Male,110700,1,1
27,852,237,1024,OTHER,221,2.1141,Male,110900,1,1
46,1480,358,1511,Unknown,348,1.9718,Male,110600,1,1
26,3827,814,3367,FIAT,810,3.15,Male,129700,1,1
42,1967,378,1459,TOYOTA,348,3.0375,Female,118100,1,1
33,2318,464,1904,BMW,451,3.7454,Male,116400,1,1
27,2215,440,1987,FIAT,449,3.0429,Female,129600,1,1
27,3623,809,3712,LANDROVER,754,3.4609,Female,123300,1,1
22,2948,636,2600,PEUGEOT,602,3.125,Female,113600,1,1
34,1914,364,1564,VAUXHALL,328,2.8347,Female,115800,1,1
36,2242,448,2052,FORD,447,3.4464,Female,113000,1,1
26,2712,402,1389,VOLKSWAGEN,377,5.6513,Female,227900,1,0
10,17820,2812,8686,FIAT,2666,6.3875,Male,310700,1,0
25,4240,643,1885,FORD,637,6.2384,Male,247600,1,0
8,32054,5290,15507,ROVER,5050,6.0191,Female,253900,1,0
16,9446,1650,4911,MERCEDES,1534,5.0111,Male,212900,1,0
23,3351,591,1535,FORD,522,5.0869,Male,230600,1,0
12,9197,1642,4332,CITROEN,1554,4.9589,Female,282100,1,0
5,18690,2862,9427,FIAT,2777,6.4266,Female,315600,1,0
26,797,117,383,FORD,114,6.8758,Female,253800,1,0
14,17527,2751,8380,RENAULT,2676,6.2734,Female,267000,1,0
26,3638,557,1993,Unknown,593,6.1076,Female,221200,1,0
11,21533,3078,9671,FIAT,2890,7.0329,Male,368300,1,0
7,27700,4179,15037,FORD,4072,6.6288,Male,339700,1,0
19,6300,937,3671,HYUNDAI,943,5.9716,Male,262100,1,0
16,4632,761,3038,LANDROVER,727,5.1762,Female,264400,1,0
16,3552,575,2120,ROVER,573,6.4333,Female,271500,1,0
4,9959,1544,4904,VOLVO,1429,6.9754,Female,402500,1,0
24,3128,497,1406,LOTUS,472,7.5286,Male,462700,1,0
23,1160,166,467,VAUXHALL,178,8.105,Female,386200,1,0
32,761,101,295,Unknown,95,11.1077,Male,500001,1,0
31,2524,349,1003,PROTON,343,7.5196,Female,380900,1,0
33,4518,716,2037,VAUXHALL,764,5.6015,Male,267200,1,0
21,4723,882,2210,VOLVO,768,3.8167,Male,258700,1,0
22,5179,944,2315,LOTUS,884,4.51,Female,189900,1,0
29,3855,585,2205,VAUXHALL,609,5.5496,Male,218200,1,0
16,4556,639,2066,VAUXHALL,651,6.4667,Male,263900,1,0
26,3408,542,1664,FORD,543,6.1498,Male,239100,1,0
25,2208,477,1084,HONDA,424,3.775,Female,191700,1,0
31,1484,327,927,PORSCHE,317,3.6484,Male,189600,1,0
32,3357,621,1696,ROVER,604,4.2685,Male,216600,1,0
36,1811,320,1005,FIAT,332,5.5629,Male,188300,1,0
36,1267,191,640,FORD,200,5.2405,Male,220000,1,0
33,3630,800,2257,ROVER,796,3.2469,Male,206900,1,0
29,3416,790,2223,VAUXHALL,728,3.5109,Female,186000,1,0
23,2535,490,1327,FIAT,466,3.5977,Male,180600,1,0
29,1185,197,588,FORD,196,5.0832,Male,196900,1,0
15,6409,1363,3359,MERCEDES,1267,3.875,Female,173300,1,1
17,7836,1624,4419,Unknown,1526,3.8465,Female,180700,1,0
27,1748,403,985,FORD,416,3.1133,Male,180600,1,0
33,2059,361,1073,MAZDA,339,4.2454,Male,183800,1,0
33,1485,274,1006,BMW,258,5.1708,Female,158500,1,1
34,912,165,522,FORD,150,4.0417,Female,178000,1,1
34,1004,220,772,HYUNDAI,217,3.8571,Female,174500,1,1
23,4066,819,2105,ROVER,737,4.6556,Male,199600,1,0
34,1324,211,799,Unknown,228,4.5234,Female,192200,1,0
30,3082,602,2008,MERCEDES,619,4.1411,Female,182700,1,0
35,1470,241,885,VOLVO,246,4.9239,Male,168800,1,1
35,1574,276,1088,AUDI,289,4.0938,Male,165300,1,1
36,806,147,446,FORD,153,4.5221,Male,151300,1,1
18,2923,670,1751,FORD,656,3.2383,Female,157000,1,1
35,1447,272,1224,HYUNDAI,268,3.9934,Female,141900,1,1
35,1566,321,1396,ROVER,317,4.05,Female,141300,1,1
27,2434,535,1623,VAUXHALL,498,3.6875,Female,140200,1,1
37,1286,255,1047,VOLKSWAGEN,249,4.2019,Female,140100,1,1
25,2559,654,1674,AUDI,623,2.8547,Male,155600,1,1
36,2029,351,1327,FIAT,364,4.1836,Female,164300,1,1
34,2159,386,1443,FORD,385,4.1995,Male,147400,1,1
25,3076,856,2868,NISSAN,752,2.6619,Female,117600,1,1
32,1640,391,1312,VOLKSWAGEN,358,2.6292,Female,136100,1,1
5,1126,316,819,FIAT,311,1.5,Male,139800,1,1
37,1801,422,1564,FORD,425,3.1597,Female,133000,1,1
33,1788,456,1787,SAAB,361,2.6629,Female,124100,1,1
33,1555,361,1571,VOLVO,386,4.0529,Male,138200,1,1
35,957,194,804,FORD,221,3.3322,Female,151400,1,1
34,1540,328,1037,MAZDA,317,2.2132,Male,138500,1,1
42,1762,398,1526,VAUXHALL,365,2.8643,Male,132600,1,1
41,2673,578,2259,FIAT,592,3.7846,Female,145500,1,1
33,1391,309,1038,HONDA,298,4.1944,Female,149500,1,1
32,2552,576,2161,PEUGEOT,548,2.9459,Male,144400,1,1
36,294,67,266,OTHER,80,3.5385,Male,134400,1,1
23,4776,1316,4797,VOLVO,1187,2.1667,Female,142600,1,1
20,3158,684,2396,CITROEN,713,3.525,Male,153000,1,1
24,2838,695,2151,FORD,645,3.2202,Male,126200,1,1
31,1239,254,929,MAZDA,244,3.3625,Male,153400,1,1
18,123,28,121,FORD,26,3.0417,Male,137500,1,1
11,2399,527,2307,BMW,531,3.5625,Male,141000,1,1
31,1507,369,1548,FORD,347,3.4327,Male,147200,1,1
15,3543,888,3131,MAZDA,823,3.0184,Female,139400,1,1
28,441,106,504,RENAULT,108,2.9107,Female,152500,1,1
32,2491,616,2660,FIAT,595,2.564,Female,145800,1,1
34,1696,456,1609,MG,426,2.25,Male,138500,1,1
35,1681,360,1648,RENAULT,373,2.4911,Female,145900,1,1
35,1032,207,954,VAUXHALL,191,2.8906,Male,134800,1,1
8,2027,480,1781,VOLVO,447,3.0806,Female,142400,1,1
30,2227,474,1961,FORD,481,3.3261,Male,164100,1,1
32,2910,709,2583,PROTON,670,3.7736,Male,158400,1,1
20,2063,496,1573,VAUXHALL,468,3.2,Female,157100,1,1
22,1438,364,1325,CITROEN,335,2.7802,Male,162500,1,1
17,3640,830,3537,HONDA,807,3.4784,Male,152200,1,1
22,5661,1209,5389,PEUGEOT,1178,3.7727,Female,159700,1,1
31,3073,617,2640,VOLVO,594,3.5,Male,161300,1,1
27,3569,761,3339,FORD,762,4.1304,Female,160500,1,1
29,1986,448,2013,FORD,432,3.1034,Male,140800,1,1
35,4036,904,3878,PEUGEOT,846,3.2957,Male,141600,1,1
33,1558,316,1600,VOLKSWAGEN,338,2.9712,Male,143900,1,1
26,1399,277,1285,HYUNDAI,276,4,Male,160100,1,1
30,2686,613,2477,BMW,573,3.4427,Male,160800,1,1
6,1954,534,1584,FORD,496,3.1621,Female,131000,1,1
30,2775,657,2847,ROVER,642,3.2266,Female,141800,1,1
31,2779,639,2259,HONDA,670,3.4032,Male,143400,1,1
21,2215,484,1792,RENAULT,419,2.8375,Male,166500,1,1
34,2278,476,1728,MG,448,3.125,Female,154100,1,1
18,1179,324,1296,FIAT,331,2.851,Male,140600,1,1
39,1076,338,1242,HONDA,332,2.2679,Male,151800,1,1
33,4151,850,3563,PEUGEOT,848,3.1912,Female,159900,1,1
28,2831,552,2330,VAUXHALL,557,3.9741,Female,173100,1,1
21,2707,675,1742,MG,626,2.1062,Female,176700,1,1
32,2704,514,1669,TOYOTA,497,4.4653,Male,195400,1,0
34,1970,476,1269,JAGUAR,406,4.064,Male,201200,1,0
35,2393,417,1336,ALFA ROMEO,418,4.87,Male,187700,1,0
37,1137,203,672,FIAT,226,3.2969,Male,189000,1,0
37,1987,399,1279,JAGUAR,378,4.1172,Male,176500,1,1
34,2192,431,1376,VAUXHALL,428,3.9861,Male,163900,1,1
35,782,153,499,FIAT,163,4.2062,Female,161300,1,1
35,1891,353,1093,HONDA,382,4.0167,Female,165500,1,1
37,1185,225,769,ROVER,235,4.4625,Female,154200,1,1
36,1285,228,679,VAUXHALL,231,3.8705,Male,191900,1,0
35,2108,408,1257,DAEWOO,414,4.1312,Male,185200,1,0
34,1409,305,819,FORD,273,3.3977,Female,188800,1,0
36,1371,246,806,PEUGEOT,241,4.5078,Male,187100,1,0
35,689,128,379,ROVER,128,3.9583,Male,206000,1,0
36,1597,285,901,VAUXHALL,272,4.3947,Male,197000,1,0
36,1788,317,1139,FIAT,320,4.125,Male,185800,1,0
33,2325,452,1170,FORD,445,3.6625,Male,217100,1,0
35,1443,266,861,RENAULT,262,3.5795,Female,186900,1,0
36,1479,251,741,VOLKSWAGEN,245,4.2986,Female,189600,1,0
35,1860,323,1011,BMW,305,3.5536,Male,207000,1,0
35,1897,311,965,FORD,323,5.7039,Male,199400,1,0
28,3694,722,1999,MERCEDES,718,3.2813,Male,181100,1,0
20,4327,1037,2296,VAUXHALL,963,3.0441,Male,185400,1,0
35,1810,318,1164,AUDI,332,5.0123,Male,165700,1,1
33,1921,397,1492,ROVER,393,4.375,Female,150500,1,1
31,3007,653,1766,PROTON,616,3.7083,Female,166000,1,1
35,2746,478,1779,BMW,501,4.25,Female,166700,1,1
35,2994,603,1933,FIAT,561,4.0052,Female,160700,1,1
27,3341,728,1762,FORD,679,2.9437,Female,180400,1,0
35,3185,544,1858,FORD,564,3.8304,Female,175900,1,1
34,2048,411,1456,HYUNDAI,416,3.125,Female,168600,1,1
35,2739,475,1481,MAZDA,483,4.5655,Female,176600,1,1
34,1562,272,825,PROTON,266,4.125,Male,220800,1,0
32,2068,356,976,RENAULT,370,5.212,Female,201200,1,0
37,1055,280,538,SAAB,206,2.4167,Male,181300,1,0
35,1205,330,583,CITROEN,319,2.3971,Male,188900,1,0
37,1813,394,1100,FORD,375,3.4453,Male,176700,1,1
39,1726,333,892,HONDA,335,4.3409,Male,191800,1,0
30,6132,1538,3147,NISSAN,1449,2.7763,Male,187800,1,0
35,1711,335,825,ROVER,356,3.5,Female,215600,1,0
25,2115,489,1107,ROVER,477,3.1949,Male,207400,1,0
32,2374,450,1580,SAAB,427,3.8837,Female,200300,1,0
32,5482,1251,3426,CITROEN,1117,3.2943,Male,204400,1,0
25,3652,470,1525,FORD,484,10.1248,Female,428500,1,0
23,6689,1124,3081,HYUNDAI,1047,5.9254,Female,491200,1,0
35,1313,194,599,RENAULT,209,7.5,Female,287200,1,0
33,1701,290,831,ROVER,275,5.4469,Male,274700,1,0
33,1330,209,578,Unknown,192,5.6406,Male,266200,1,0
35,1439,261,804,DAEWOO,271,3.9808,Male,188600,1,0
35,1646,294,1056,FORD,280,3.055,Female,172000,1,1
35,834,137,392,HYUNDAI,123,4.5179,Female,218800,1,0
34,2956,469,1488,MERCEDES,464,5.3664,Female,268300,1,0
36,1009,164,466,ROVER,149,5.8519,Female,249400,1,0
36,1390,270,887,VAUXHALL,266,5.0897,Female,189000,1,0
33,2938,561,1519,FIAT,549,4.5594,Female,204200,1,0
34,2819,609,1718,HYUNDAI,558,3.5547,Female,197600,1,0
36,1057,207,658,MAZDA,207,4.7708,Male,191700,1,0
29,1699,399,1052,ROVER,411,3.2122,Male,195500,1,0
29,3250,521,1382,FORD,513,5.112,Male,218300,1,0
35,3189,527,1727,ROVER,500,5.0758,Male,211100,1,0
35,2894,467,1420,RENAULT,479,5.184,Female,224900,1,0
37,1505,262,798,FIAT,259,5.4635,Male,202100,1,0
35,1022,183,628,RENAULT,187,3.9375,Female,187500,1,0
36,1340,221,848,SUZUKI,244,4.1731,Male,205100,1,0
32,3055,623,1902,DAEWOO,565,4.2926,Female,190700,1,0
38,175,22,129,PROTON,20,9.7066,Male,182500,1,0
28,3342,688,2210,ROVER,647,3.4596,Female,202800,1,0
34,1428,227,890,ALFA ROMEO,249,5.8722,Male,204800,1,0
32,3418,662,2003,FORD,622,4.0333,Male,210200,1,0
34,1921,422,1230,JAGUAR,447,3.6648,Female,193900,1,0
36,1207,209,683,SUZUKI,213,5.3559,Male,207300,1,0
25,1814,404,1187,DAEWOO,363,3.3523,Female,170800,1,1
37,1375,260,951,FORD,272,3.2083,Female,195200,1,0
32,2252,415,1370,HYUNDAI,411,4.6312,Male,184800,1,0
35,2819,529,1508,NISSAN,485,4.6118,Female,191700,1,0
34,2226,381,1464,SKODA,365,4.4102,Male,183200,1,0
31,2017,462,1462,Unknown,457,2.067,Female,167300,1,1
33,1452,268,1274,MAZDA,278,3.6563,Male,162700,1,1
34,3580,684,2786,ROVER,636,4.0469,Male,166800,1,1
33,1353,228,1079,Unknown,237,4.5417,Male,160300,1,1
31,2516,526,2194,VAUXHALL,497,3.2413,Male,155500,1,1
36,2391,407,1967,VOLKSWAGEN,398,4.0274,Male,160700,1,1
35,2342,426,2176,FORD,416,3.7454,Male,156900,1,1
35,1792,317,1441,HYUNDAI,306,3.7917,Male,151100,1,1
33,2028,422,1727,MAZDA,371,2.8438,Male,157600,1,1
36,931,160,746,VOLVO,201,3.1667,Male,158000,1,1
36,1299,206,763,BMW,216,3.5179,Male,161400,1,1
34,2050,495,1832,FIAT,465,2.8333,Female,155700,1,1
33,1560,315,1467,FORD,313,4.1429,Female,159800,1,1
34,2547,537,2108,FORD,498,3.4722,Male,154600,1,1
32,1507,295,1326,MITSUBISHI,324,4.119,Male,163300,1,1
28,1686,417,1355,ROVER,388,2.5192,Female,157300,1,1
35,2093,407,1755,VAUXHALL,403,3.4115,Female,150400,1,1
35,1623,331,1462,Unknown,312,3.9803,Male,152600,1,1
33,1453,326,1609,FIAT,319,3.7578,Female,155800,1,1
35,804,159,727,FORD,179,2.7361,Male,145700,1,1
35,1254,263,1092,JAGUAR,268,4.6364,Female,163100,1,1
36,1475,270,1149,MAZDA,284,3.0904,Male,158600,1,1
35,1309,276,1113,PROTON,253,4.375,Male,156500,1,1
36,1044,200,982,ROVER,205,4.7679,Female,153900,1,1
35,1141,212,924,VOLKSWAGEN,212,3.1591,Female,148300,1,1
33,1458,268,1115,DAEWOO,257,4.7955,Female,158100,1,1
34,1381,265,1020,FIAT,268,4.025,Female,146900,1,1
32,1993,388,1385,FORD,380,3.7258,Male,181900,1,0
34,1729,324,1341,HYUNDAI,324,3.7708,Female,163500,1,1
36,1431,354,1367,SKODA,334,3.5592,Male,160200,1,1
34,1403,274,977,VOLKSWAGEN,257,3.8409,Female,163000,1,1
34,1519,304,1262,VOLVO,300,3.3409,Female,161200,1,1
31,2349,539,2028,FORD,521,3.494,Female,154500,1,1
33,1493,331,1571,FORD,354,3.8864,Female,158900,1,1
27,2610,846,2296,ROVER,750,2.274,Female,150800,1,1
35,1499,289,1112,VAUXHALL,268,3.83,Male,149000,1,1
35,1375,249,1015,BMW,239,4.0521,Male,151800,1,1
33,1782,394,1517,FORD,376,3.3389,Male,157900,1,1
23,3188,836,3883,HONDA,840,2.1863,Male,157600,1,1
33,1733,361,1757,PEUGEOT,375,4.2266,Female,153800,1,1
27,5026,955,3899,VOLVO,930,3.871,Female,162900,1,1
19,1129,258,900,PROTON,228,3.875,Male,135600,1,1
22,1919,411,1203,FORD,363,4.2578,Male,144100,1,1
35,1341,233,898,VOLVO,216,4.1118,Female,157300,1,1
32,1819,375,1728,HONDA,375,3.975,Female,162400,1,1
35,1469,306,1285,SKODA,308,3.9219,Female,159500,1,1
35,2160,399,1694,MERCEDES,403,3.8581,Female,163100,1,1
30,2246,446,1837,SAAB,431,4.7917,Male,164500,1,1
23,6361,1168,4580,FORD,1109,4.9342,Male,181000,1,0
30,1336,239,905,FORD,253,4.8854,Female,178100,1,1
15,11989,2185,6652,ROVER,2081,4.5554,Male,278300,1,0
33,629,76,253,Unknown,75,7.6286,Male,330400,1,0
15,8749,1761,5278,ROVER,1691,4.6324,Male,168800,1,1
36,2241,419,1743,VOLVO,448,4.6587,Male,161900,1,1
16,6756,1332,4429,DAEWOO,1299,4.7589,Male,178200,1,1
21,5459,1086,3394,JAGUAR,1087,3.6308,Male,192100,1,0
23,4535,955,3881,PEUGEOT,930,3.6275,Male,154100,1,1
27,1702,381,2091,BMW,352,3.7917,Male,131100,1,1
27,2383,472,2079,FIAT,494,3.9702,Female,141400,1,1
17,5973,1384,4349,FORD,1229,3.2799,Female,199300,1,0
15,14058,2486,8997,ROVER,2497,5.0704,Male,226200,1,0
22,6269,1279,5587,AUDI,1251,3.8201,Female,136200,1,1
35,3055,634,3738,PEUGEOT,615,3.375,Female,127200,1,1
29,1468,310,1390,VOLKSWAGEN,276,3.75,Female,190600,1,0
33,349,124,460,VOLVO,83,2.375,Female,133300,1,1
21,797,162,484,AUSTIN,166,2.625,Female,191100,1,0
18,8076,1789,5325,FIAT,1707,3.443,Female,171900,1,1
36,116,30,193,HYUNDAI,35,3.8125,Male,136300,1,1
32,265,51,170,VAUXHALL,50,3.9375,Male,187500,1,0
22,3272,618,1784,Unknown,591,4.0324,Male,211300,1,0
21,2837,515,2031,PEUGEOT,555,4.9271,Male,209700,1,0
37,682,172,813,Unknown,173,3.8125,Male,138000,1,1
30,4468,959,4027,PEUGEOT,938,3.185,Female,168300,1,1
27,5640,1001,3538,VOLVO,978,5.065,Male,215400,1,0
25,6909,1154,3912,VOLVO,1121,5.257,Male,226100,1,0
32,2945,651,2044,LANDROVER,652,3.1979,Male,183900,1,0
33,3512,632,1971,VAUXHALL,598,4.4653,Male,193200,1,0
27,2643,418,1344,FORD,381,5.7057,Male,262100,1,0
26,2988,397,1371,VAUXHALL,415,6.6988,Male,382500,1,0
21,5992,986,2647,NISSAN,969,5.2405,Male,302400,1,0
33,3530,700,2959,ROVER,679,3.7459,Female,152900,1,1
33,2006,381,1410,BMW,346,3.7083,Female,165500,1,1
28,1983,375,1407,PEUGEOT,367,3.8319,Female,179000,1,1
22,5284,982,2613,VAUXHALL,932,4.7332,Female,289900,1,0
22,3632,538,1968,VOLVO,566,6.019,Male,324900,1,0
26,3343,455,1429,Unknown,457,7.0778,Male,334300,1,0
27,2275,346,1039,LANDROVER,333,6.2217,Male,333500,1,0
18,8399,1144,3727,VOLKSWAGEN,1107,6.9695,Male,360400,1,0
34,2376,468,1858,FORD,449,4.1328,Male,176300,1,1
33,5462,952,3527,HONDA,914,4.4038,Female,186700,1,0
34,2777,540,1954,MAZDA,522,4.5163,Male,183800,1,0
10,16414,2919,8907,TOYOTA,2714,6.1552,Female,362500,1,0
15,16042,2602,7732,FORD,2552,5.6716,Male,330400,1,0
18,6100,1018,3112,HYUNDAI,982,4.9932,Female,284000,1,0
15,3978,692,2418,MG,665,5.0142,Male,269900,1,0
24,1219,177,610,OTHER,185,6.7978,Male,325000,1,0
25,1075,138,451,FORD,132,6.8492,Male,332200,1,0
25,1348,210,660,OTHER,200,5.2852,Female,297600,1,0
25,2799,388,1348,VOLKSWAGEN,389,6.2517,Female,311100,1,0
23,3335,570,1560,FORD,555,5.7268,Male,300300,1,0
25,1259,184,599,PEUGEOT,170,5.7407,Male,302200,1,0
16,19059,3079,10988,VAUXHALL,3061,5.5469,Male,265200,1,0
5,3088,711,1415,Unknown,641,2.5125,Female,184500,1,0
20,9893,2283,7228,OTHER,2159,3.253,Female,186700,1,0
23,7353,1255,4014,VAUXHALL,1124,5.4155,Female,213200,1,0
52,1171,318,1126,Unknown,276,1.9762,Male,105800,1,1
52,62,9,44,FORD,16,0.4999,Male,112500,1,1
4,1391,506,727,MAZDA,369,1.4722,Male,137500,1,1
27,437,108,469,VOLKSWAGEN,97,1.7206,Male,107500,1,1
37,378,92,503,Unknown,103,2.1908,Male,94600,1,1
44,477,135,502,FIAT,117,2.0156,Male,112500,1,1
52,24,6,46,FORD,7,1.625,Male,67500,1,1
33,859,144,421,HYUNDAI,138,4.4821,Female,220100,1,0
17,7116,1089,3538,VOLVO,1083,6.2654,Male,273800,1,0
33,1620,283,868,HYUNDAI,275,5.411,Female,219400,1,0
13,3859,710,2283,VOLKSWAGEN,759,4.5594,Male,184500,1,0
33,1943,440,1526,BMW,353,3.038,Male,137500,1,1
27,2221,542,1328,FIAT,523,2.5275,Male,151700,1,1
33,1994,405,993,PEUGEOT,403,3.766,Female,163900,1,1
9,907,207,619,FORD,194,3.9464,Female,179600,1,1
15,3595,964,1839,PEUGEOT,877,2.6014,Female,150300,1,1
33,1328,348,903,FIAT,329,3.1094,Male,136000,1,1
42,683,127,541,FORD,138,3.4375,Female,151700,1,1
24,1596,388,1329,VOLVO,352,3.0417,Male,148000,1,1
33,2038,473,1546,JAGUAR,469,3.4777,Male,144500,1,1
37,1447,309,1279,MERCEDES,290,4.0083,Male,142900,1,1
29,2110,460,1890,RENAULT,448,3.6806,Male,130500,1,1
33,2474,472,1268,Unknown,437,6.4576,Male,500001,1,0
35,5005,848,2112,JAGUAR,813,4.9968,Male,295000,1,0
42,1020,156,398,VOLKSWAGEN,157,6.101,Female,311800,1,0
47,1745,270,753,BMW,275,5.532,Male,318500,1,0
38,2981,432,1063,BMW,437,6.5254,Male,365000,1,0
40,3838,696,1851,FIAT,674,4.2407,Male,262000,1,0
52,1354,227,531,ROVER,206,4.8059,Male,270600,1,0
48,3436,673,1540,TOYOTA,648,4.275,Female,256800,1,0
52,2234,472,986,VOLVO,439,3.9125,Male,265500,1,0
44,2419,437,1045,FIAT,432,3.875,Male,280800,1,0
32,3868,548,1558,HONDA,528,9.4667,Male,500001,1,0
36,1640,239,693,PORSCHE,253,6.6888,Male,500001,1,0
43,1694,283,674,VOLVO,267,4.1797,Female,486800,1,0
44,2267,426,980,CITROEN,372,3.6,Female,307400,1,0
38,2726,398,1059,FORD,380,7.2419,Male,410400,1,0
45,2535,455,1036,LANDROVER,437,5.0482,Male,388900,1,0
52,1885,401,764,SAAB,373,4.0385,Male,265700,1,0
37,3134,532,1220,FORD,508,5.2865,Female,455400,1,0
38,1594,249,633,NISSAN,247,5.9582,Male,350700,1,0
36,3908,732,1688,VOLVO,725,4.5625,Female,376800,1,0
41,3320,713,1236,FORD,659,3.5694,Female,278600,1,0
46,1467,298,816,FIAT,267,3.6705,Male,286500,1,0
34,2297,419,909,MAZDA,412,4.8214,Male,362500,1,0
35,3585,671,1401,HYUNDAI,623,4.125,Male,330000,1,0
36,1401,218,667,PROTON,225,7.1615,Female,484700,1,0
39,2731,366,1034,Unknown,338,9.8098,Male,500001,1,0
32,5131,665,1877,MAZDA,622,8.2004,Male,500001,1,0
37,1980,226,697,VAUXHALL,226,15.0001,Female,500001,1,0
39,2125,295,862,ALFA ROMEO,303,8.9728,Male,500001,1,0
40,4307,918,1769,PROTON,845,3.6341,Male,391500,1,0
42,2461,379,1179,HONDA,360,7.0315,Female,437300,1,0
40,2662,379,1151,HYUNDAI,387,8.4889,Male,500001,1,0
44,1446,250,721,VAUXHALL,243,4.7308,Male,352200,1,0
22,3359,643,1227,LEXUS,588,4.645,Male,276200,1,0
34,1523,311,676,DAEWOO,295,3.3621,Female,377200,1,0
35,249,31,268,VOLKSWAGEN,29,15.0001,Female,500001,1,0
23,3264,729,1475,FORD,668,3.735,Male,218300,1,0
28,12139,2873,5359,MAZDA,2731,3.292,Male,227300,1,0
34,1077,257,478,PROTON,199,2.6316,Female,252800,1,0
32,3308,718,1803,SKODA,667,3.9464,Female,273600,1,0
31,4353,1117,2338,ALFA ROMEO,1037,3.0727,Male,242600,1,0
36,1332,217,648,HONDA,203,4.7159,Male,365900,1,0
33,2874,458,1239,MAZDA,431,5.2329,Male,430900,1,0
34,1966,319,980,NISSAN,297,7.7307,Female,429000,1,0
33,2352,373,995,TOYOTA,359,4.9583,Female,445700,1,0
37,2250,360,989,VOLVO,329,6.1536,Male,366000,1,0
35,2454,458,1110,BMW,435,3.8029,Male,414800,1,0
36,1471,246,751,HONDA,230,5.4555,Male,395100,1,0
38,1778,288,870,LANDROVER,281,6.5784,Male,408500,1,0
34,2837,460,1344,ROVER,458,6.5722,Male,437400,1,0
20,3350,831,1816,ROVER,744,2.8352,Male,161700,1,1
23,3425,754,2202,VOLKSWAGEN,729,3.52,Female,187300,1,0
31,6854,1578,4131,HONDA,1524,3.5878,Female,222800,1,0
44,2492,611,1951,JAGUAR,596,3.1304,Male,185600,1,0
43,2583,633,1544,PROTON,617,2.5417,Male,178300,1,1
32,6597,1579,3689,VAUXHALL,1459,3.2377,Male,184100,1,0
27,6341,1289,2899,HONDA,1192,3.6336,Male,235200,1,0
30,2346,567,1988,NISSAN,474,2.5625,Female,153000,1,1
24,2584,520,1869,TOYOTA,503,3.2841,Female,167000,1,1
31,1298,431,1131,DAEWOO,425,1.0548,Male,178100,1,1
39,1302,303,800,ROVER,291,3.2723,Female,166900,1,1
35,1005,224,742,JAGUAR,221,3.5481,Male,158100,1,1
37,1568,371,1618,FORD,350,2.9605,Female,129400,1,1
37,1527,331,1504,HYUNDAI,324,3.2857,Male,130100,1,1
35,1040,231,1040,SUZUKI,242,2.5395,Female,139200,1,1
37,1340,325,928,VOLVO,333,3.9219,Female,175000,1,1
42,870,170,546,FORD,164,4.625,Female,173800,1,1
38,3374,671,1906,JAGUAR,640,4.0729,Male,212300,1,0
43,1185,207,657,MAZDA,198,4.5491,Male,214800,1,0
32,1937,332,922,RENAULT,340,3.94,Male,278400,1,0
